gene_idx,frame,action_id,action_name,mario_x,mario_y,vel_x,vel_y,float_state,on_ground,delta_x
439,1756,9,Right+Jump+Run,2225,176,2,0,0,1,0
440,1760,6,Run,2225,176,0,0,0,1,0
441,1764,4,Right+Jump,2225,160,2,-4,1,0,0
442,1768,4,Right+Jump,2226,147,4,-3,1,0,1
443,1772,7,Right+Run,2226,138,1,-2,1,0,0
444,1776,2,Left,2226,135,-2,0,1,0,0
445,1780,1,Right,2226,140,2,2,1,0,0
446,1784,7,Right+Run,2226,152,0,4,1,0,0
447,1788,10,Left+Jump+Run,2225,168,-5,4,1,0,-1
448,1792,0,NOOP,2224,176,-2,0,0,1,-1
449,1796,6,Run,2224,176,0,0,0,1,0
450,1800,9,Right+Jump+Run,2224,160,2,-4,1,0,0
451,1804,4,Right+Jump,2225,147,4,-3,1,0,1
452,1808,9,Right+Jump+Run,2226,136,0,-3,1,0,1
453,1812,9,Right+Jump+Run,2226,127,1,-2,1,0,0
454,1816,7,Right+Run,2226,121,0,-1,1,0,0
455,1820,9,Right+Jump+Run,2226,123,2,1,1,0,0
456,1824,1,Right,2226,131,4,3,1,0,0
457,1828,4,Right+Jump,2226,146,1,4,1,0,0
458,1832,2,Left,2226,163,-2,4,1,0,0
459,1836,1,Right,2226,176,2,0,0,1,0
460,1840,9,Right+Jump+Run,2226,160,0,-4,1,0,0
461,1844,9,Right+Jump+Run,2226,147,2,-3,1,0,0
462,1848,3,Jump,2226,136,2,-3,1,0,0
463,1852,0,NOOP,2226,128,0,-1,1,0,0
464,1856,1,Right,2226,128,2,1,1,0,0
465,1860,3,Jump,2226,135,2,2,1,0,0
466,1864,9,Right+Jump+Run,2226,148,1,4,1,0,0
467,1868,8,Left+Run,2226,165,-2,4,1,0,0
468,1872,9,Right+Jump+Run,2226,176,2,0,0,1,0
469,1876,10,Left+Jump+Run,2225,176,-4,0,0,1,-1
470,1880,4,Right+Jump,2225,176,2,0,0,1,0
471,1884,9,Right+Jump+Run,2226,176,0,0,0,1,1
472,1888,4,Right+Jump,2226,176,3,0,0,1,0
473,1892,2,Left,2225,176,-4,0,0,1,-1
474,1896,7,Right+Run,2226,176,2,0,0,1,1
475,1900,1,Right,2226,176,0,0,0,1,0
476,1904,7,Right+Run,2226,176,3,0,0,1,0
477,1908,6,Run,2226,176,0,0,0,1,0
478,1912,11,Down,2226,176,0,0,0,1,0
479,1916,6,Run,2226,176,0,0,0,1,0
480,1920,7,Right+Run,2226,176,0,0,0,1,0
481,1924,11,Down,2226,176,0,0,0,1,0
482,1928,9,Right+Jump+Run,2226,160,2,-4,1,0,0
483,1932,1,Right,2226,149,0,-2,1,0,0
484,1936,3,Jump,2226,145,0,0,1,0,0
485,1940,0,NOOP,2226,147,0,1,1,0,0
486,1944,11,Down,2226,157,0,3,1,0,0
487,1948,9,Right+Jump+Run,2226,173,3,4,1,0,0
488,1952,5,Left+Jump,2226,176,-2,0,0,1,0
489,1956,1,Right,2226,176,2,0,0,1,0
